Rank,Team,Games,PointsPerGame,YardsPerGame,YardsPerPlay,Penalties,TotalPenaltyYards,Fumbles,FumblesLost
1,Seattle Seahawks,16,15.9,267.1,4.6,70,613,30,11
2,Detroit Lions,16,17.6,300.9,4.9,99,849,19,7
3,Denver Broncos,16,22.1,305.2,4.7,103,816,21,7
4,Buffalo Bills,16,18.1,312.2,4.9,104,849,20,11
5,San Francisco 49ers,16,21.2,321.4,5.2,122,909,18,6
6,New York Jets,16,25.1,327.2,5.4,91,780,17,7
7,Kansas City Chiefs,16,17.6,330.5,5.2,107,851,17,8
8,Baltimore Ravens,16,18.9,336.9,5.2,110,"1,007",22,11
9,San Diego Chargers,16,21.8,338.3,5.5,129,"1,067",22,11
10,Carolina Panthers,16,23.4,339.8,5.4,97,760,28,12
11,Indianapolis Colts,16,23.1,342.7,5.4,101,866,29,14
12,Miami Dolphins,16,23.3,343.4,5.3,105,920,19,11
13,New England Patriots,16,19.6,344.1,5.3,92,752,19,9
14,Minnesota Vikings,16,21.4,344.7,5.4,112,938,20,6
15,Green Bay Packers,16,21.8,346.4,5.3,104,945,20,9
16,Houston Texans,16,19.2,348.2,5.2,99,786,24,14
17,St. Louis Rams,16,22.1,351.6,5.6,105,882,26,12
18,Pittsburgh Steelers,16,23,353.4,6,97,835,20,10
19,Dallas Cowboys,16,22,355.1,5.8,104,861,20,13
20,Washington Redskins,16,27.4,357,5.9,144,"1,164",26,12
21,Oakland Raiders,16,28.2,357.6,5.5,116,941,19,5
22,Cincinnati Bengals,16,21.5,359.3,5.4,105,876,15,6
23,Cleveland Browns,16,21.1,366.1,5.2,98,769,23,8
24,Arizona Cardinals,16,18.7,368.2,5.8,130,"1,192",13,7
25,Tampa Bay Buccaneers,16,25.6,368.9,5.5,106,935,25,11
26,Jacksonville Jaguars,16,25.8,370.8,5.5,115,886,22,14
27,Tennessee Titans,16,27.4,373,5.4,93,731,7,4
28,Philadelphia Eagles,16,25,375.6,5.4,121,"1,089",27,16
29,New York Giants,16,25,375.8,6,105,948,24,9
30,Chicago Bears,16,27.6,377.1,6,106,978,25,10
31,New Orleans Saints,16,26.5,384,6,105,889,15,5
32,Atlanta Falcons,16,26.1,398.2,6.1,91,744,19,12
